state,joint,prior,likelihood,treeModel.rootHeight,age(root),treeLength,tmrca(Kassala_outbreak),age(Kassala_outbreak),constant.popSize,kappa,frequencies1,frequencies2,frequencies3,frequencies4,alpha,ucld.mean,ucld.stdev,meanRate,coefficientOfVariation,covariance,treeLikelihood,branchRates,coalescent
38350000,-27300.1451665724,-3125.298332379455,-24174.846834192947,14.389107330038934,2003.610892669961,125.77648183599905,0.965859895808231,2017.0341401041917,4.017248489388468,14.089147750347113,0.29238346815941113,0.25184814864356236,0.25106148658440836,0.20470689661261243,0.0053401005267776636,7.999997380105389E-4,7.814520483540335E-4,7.362287169829936E-4,0.928951404596379,0.010091503907296273,-24174.846834192947,-2621.559854121456,-506.5742509105448
38360000,-27302.20620762576,-3126.3056435282488,-24175.900564097512,14.505173675915493,2003.4948263240844,126.1692879171898,1.1079842632305903,2016.8920157367695,3.7063727294461337,12.203182635683753,0.2873532691766532,0.25408550292908005,0.2528506334133537,0.2057105944809074,0.0630046735432222,7.270113626648188E-4,5.035205318735401E-4,7.156268497469176E-4,0.7103131030992065,0.06523037327580342,-24175.900564097512,-2621.559854121456,-507.89433108269515
38370000,-27299.436415312935,-3131.0868115487756,-24168.34960376416,14.635597095638447,2003.3644029043614,127.79736846625585,1.216554290096366,2016.7834457099036,4.3259786516434104,10.44057768499911,0.28745163496315596,0.2551155962169744,0.24804099296259494,0.20939177585726912,0.19372654372591228,7.240262062480461E-4,6.544784628445038E-4,7.001187546064254E-4,0.9093062749618976,0.0529197541294214,-24168.34960376416,-2621.559854121456,-512.564819681207
38380000,-27315.279290617556,-3124.3482351110333,-24190.931055506524,15.1420944649253,2002.8579055350747,124.42704509690638,1.160010651649661,2016.8399893483504,3.731460285941658,11.318322660101662,0.2853460479042507,0.25696090548792117,0.2516434452759141,0.20604960133190853,0.13171394472199013,8.247453304054979E-4,0.0010086636613793,7.620398150060925E-4,1.224244864777544,0.05487196195906566,-24190.931055506524,-2621.559854121456,-505.85613526893314
38390000,-27335.129448530606,-3145.456651245695,-24189.67279728491,14.533571482496667,2003.4664285175033,128.50398371636564,0.8130336526075136,2017.1869663473924,4.082132250151232,11.631509602620232,0.27796421271016153,0.2579849670168892,0.24887764315699362,0.21517317711595016,0.14989467436389556,7.45411094331904E-4,8.314336341119684E-4,7.161176632066646E-4,1.118266434965224,0.10837080744000892,-24189.67279728491,-2621.559854121456,-526.8599726594169
38400000,-27328.57556490665,-3160.6805987803077,-24167.89496612634,15.720223353864426,2002.2797766461356,136.63061729567542,0.7344056896848353,2017.2655943103152,5.001539389924324,11.190291290444268,0.28450623977645156,0.25431263957751454,0.2547892583709315,0.20639186227509693,0.10246034877793744,6.969407926516714E-4,6.470301766453026E-4,6.55641932976978E-4,0.9142393389732304,0.02481233313656974,-24167.89496612634,-2621.559854121456,-542.1152304540004
38410000,-27331.888699786716,-3154.9289027169843,-24176.959797069732,15.134123170283875,2002.8658768297162,132.2253706226205,0.8304720376594176,2017.1695279623407,4.107688288005307,9.786903208863281,0.2864118718101229,0.25228877831144686,0.25040246445622727,0.21089688542219756,0.09254104265865218,6.51578268554864E-4,5.888194820075823E-4,6.449281381738347E-4,0.9243050224152555,0.15150938148337792,-24176.959797069732,-2621.559854121456,-536.8563772337125
38420000,-27360.749444743582,-3158.3253999340673,-24202.424044809515,14.90452460526546,2003.0954753947346,136.5740374484955,0.8329779609791211,2017.1670220390208,4.229896651527269,12.508374303074852,0.2873698733636585,0.2520840336412141,0.25193933765890725,0.2086067553362147,0.02553550681574601,6.019365259663233E-4,5.638600710670229E-4,6.581782670210337E-4,0.9453290816064419,0.06700108351705822,-24202.424044809515,-2621.559854121456,-539.9516175858766
38430000,-27371.514127212286,-3168.550463197901,-24202.963664014384,15.677081748331162,2002.3229182516689,140.83767251520374,0.8674693554797859,2017.13253064452,4.5370859998805235,11.687903341189669,0.285960533297011,0.25790611411991443,0.2520386024378704,0.20409475014519873,0.01924294274574942,6.157295006006669E-4,5.316612822171963E-4,6.359110116835893E-4,0.8942806597551707,0.007704904785507728,-24202.963664014384,-2621.559854121456,-550.2514363347634
38440000,-27327.565653789294,-3143.509292896384,-24184.05636089291,15.910934836915684,2002.0890651630843,137.19655934934076,1.064382149658687,2016.9356178503413,4.143993799002007,10.780832768327048,0.2847823271209566,0.25575489049944866,0.2525271639668381,0.20693561841275135,0.08630123928882363,7.275174118588668E-4,8.146829109283322E-4,6.52589200136789E-4,1.1875414554351824,0.029632585382486674,-24184.05636089291,-2621.559854121456,-525.2104251908981
38450000,-27319.369776639647,-3124.7574657396863,-24194.61231089996,14.87201452264191,2003.1279854773582,126.40314883608337,1.1282500237021262,2016.871749976298,3.511037294125068,10.973711449228999,0.2775586867627672,0.2648420080551426,0.24351282076330596,0.21408648441877906,0.09009417308626141,6.987746219828135E-4,6.963926755660524E-4,6.755892433476882E-4,1.0223866378500537,0.0403300873631889,-24194.61231089996,-2621.559854121456,-506.5743172217856
