state,joint,prior,likelihood,treeModel.rootHeight,age(root),treeLength,tmrca(Kassala_2018),tmrca(Kassala_2019),age(Kassala_2018),age(Kassala_2019),constant.popSize,kappa,frequencies1,frequencies2,frequencies3,frequencies4,alpha,ucld.mean,ucld.stdev,meanRate,coefficientOfVariation,covariance,treeLikelihood,branchRates,coalescent
6640000,-27722.02144664707,-3189.607502426219,-24532.41394422085,16.00997287643582,2003.9434517810985,120.85893111099435,2.4154321252227087,1.7380174019091479,2017.5379925323116,2018.215407255625,3.048253265482307,11.529936286162934,0.2895749258641371,0.2611228193988564,0.2462067964795988,0.2030954582574081,0.023387710053238628,9.526210826836046E-4,0.001304575559899486,7.763942640789222E-4,1.3116567136296136,0.18279492614618043,-24532.41394422085,-2720.7422526009486,-472.216324151917
6650000,-27713.63493763753,-3190.041723299904,-24523.593214337627,17.168749440439647,2002.7846752170947,121.57099059853338,2.4817845025248673,1.5437955939663783,2017.4716401550095,2018.4096290635678,2.9533696229912034,11.412523429718089,0.2816371504633298,0.26386299771699107,0.2495793280299797,0.20492052378969983,0.025232255260073527,9.50799278259638E-4,0.0012138660979259365,7.419998438574066E-4,1.3130668540918549,0.15252162444081294,-24523.593214337627,-2720.7422526009486,-472.7018549242849
6660000,-27776.98712511156,-3207.397004991443,-24569.590120120116,15.96334556748987,2003.9900790900444,121.21355551103167,2.5039408171704736,1.3395567961035069,2017.4494838403639,2018.6138678614307,3.681845042889251,11.076273791359807,0.2741043212863271,0.2599736784441317,0.2523469124230576,0.21357508784648394,0.10972170803203858,9.435883803691646E-4,0.001115611011858025,7.71738843169226E-4,1.2497941229175193,0.09281870280068734,-24569.590120120116,-2720.7422526009486,-489.72861328704926
6670000,-27757.8564837743,-3221.892124801489,-24535.96435897281,16.19225454847723,2003.761170109057,128.2518395077762,2.5214684466910144,1.2504221556627733,2017.4319562108433,2018.7030025018714,3.5878125497018547,9.45642627292091,0.277099078176136,0.25905247134363946,0.255979494331423,0.20786895614880171,0.12210543406830415,9.282778358849804E-4,9.820448139063788E-4,7.665474989480764E-4,1.076151116635239,0.1310673102547316,-24535.96435897281,-2720.7422526009486,-504.5492250553077
6680000,-27786.045971222193,-3215.125588886016,-24570.92038233618,16.94084755326667,2003.0125771042676,127.9133864366885,2.4604071023084453,1.6646355482028685,2017.4930175552258,2018.2887891093314,3.5553963895684584,11.10084614500388,0.2808603324255417,0.2567934647634491,0.24876786540374374,0.21357833740726556,0.13685972430119445,9.398947741868006E-4,8.996013405555882E-4,7.565264376874802E-4,0.9777057810711728,0.13686689697894708,-24570.92038233618,-2720.7422526009486,-497.4573180336031
6690000,-27739.89184032415,-3216.2270173922802,-24523.66482293187,16.951500062888055,2003.0019245946462,127.96194056525715,2.4605570186809094,1.342167365590746,2017.4928676388533,2018.6112572919435,3.2294540995339736,11.56892439726896,0.29203032119421735,0.25431751334068176,0.24425731009259963,0.2093948553725014,0.07649076067272968,8.551010751116696E-4,0.001050644631510339,7.0192379100929E-4,1.2304200546856239,0.25611215180243363,-24523.66482293187,-2720.7422526009486,-498.7544148012626
6700000,-27763.877249879377,-3220.6642651621682,-24543.212984717207,17.004154814296438,2002.9492698432377,127.5472034652768,2.5268215463145762,1.1080331086839585,2017.4266031112197,2018.8453915488503,3.403348505403201,11.320392878634737,0.27962624550412,0.26033218055942964,0.24703107561898896,0.21301049831746152,0.14679750451100873,8.903421232957212E-4,8.956204774423756E-4,7.307999239388162E-4,1.0750146789687072,0.09766822697014703,-24543.212984717207,-2720.7422526009486,-503.0148067183878
6710000,-27775.80958977653,-3225.362183546898,-24550.447406229632,16.582162130477766,2003.3712625270564,126.90603426471975,2.6398959310040353,1.2206345403155487,2017.3135287265302,2018.7327901172187,3.783721195203171,14.316354818156691,0.287458521866023,0.25735282029081624,0.2525822725044702,0.20260638533869063,0.10369806688500635,0.0010191469714583784,0.0012050115577411432,7.792948975740086E-4,1.2020370609394742,0.14473782306335273,-24550.447406229632,-2720.7422526009486,-507.1393806290641
6720000,-27757.281863439246,-3227.820262448712,-24529.461600990533,16.89832376100456,2003.0551008965297,130.39869439899763,2.737449367047926,1.052549444278605,2017.2159752904863,2018.9008752132556,3.1302644947582743,11.607788945115962,0.28068642280695755,0.25053397303248764,0.2503419421023867,0.2184376620581682,0.03126556757548822,9.745966713393589E-4,0.0012563917653805857,7.514821492136149E-4,1.203855752098545,0.16894279466989703,-24529.461600990533,-2720.7422526009486,-510.38858668050887
6730000,-27770.861076368066,-3223.182035084348,-24547.679041283718,16.984624047921635,2002.9688006096126,126.86817210698239,2.572622050575325,1.098798111795625,2017.380802606959,2018.8546265457387,3.816143775480878,11.33682111290131,0.2855878652649592,0.25905572607879573,0.2455668561500326,0.20978955250621267,0.1155500833058711,0.0010108839421592364,0.0012974629594883684,7.280013676068613E-4,1.153187417000037,0.24123890148399293,-24547.679041283718,-2720.7422526009486,-505.3957658137499
6740000,-27749.622512363323,-3197.534745464183,-24552.08776689914,16.341293777840953,2003.6121308796933,118.77453824252378,2.6763428895159183,1.4212130051886693,2017.2770817680184,2018.5322116523455,3.5221857528063594,10.75966856525254,0.28712348043627073,0.25438186684794833,0.2440204863167906,0.21447416639899056,0.14197729825539024,9.428960584275191E-4,0.0011586891757804762,7.665440832786409E-4,1.1484279865595002,0.22885782769878088,-24552.08776689914,-2720.7422526009486,-479.89343795893774
6750000,-27753.651276480014,-3208.7720626707724,-24544.879213809243,16.510528556462035,2003.4428961010722,124.33217408141924,2.8947235033509253,1.4586380263501304,2017.0587011541834,2018.494786631184,3.5941725213994724,13.419792408180387,0.281895276979485,0.26213788193154886,0.24771539682601273,0.20825144426295372,0.03655685669080373,9.112326370745987E-4,0.0010473486624777604,7.600838219166108E-4,1.1094410833243493,0.14376755684974582,-24544.879213809243,-2720.7422526009486,-490.92926518342773
6760000,-27776.91354869358,-3231.5054355200814,-24545.4081131735,16.972143079109397,2002.9812815784248,129.47089433695842,2.651437464246459,1.1712138947581519,2017.3019871932877,2018.782210762776,4.0635996322781445,10.501289308304074,0.2861516994801594,0.2546327149184431,0.24779392236019104,0.21142166324120684,0.07778296390783691,7.890410519271439E-4,7.863391895540867E-4,6.977565399441428E-4,0.9636133609147879,0.15387677410952572,-24545.4081131735,-2720.7422526009486,-514.0381839330174
6770000,-27783.03581638611,-3244.2670589105173,-24538.76875747559,17.163018492334135,2002.7904061652,137.14190537786286,2.9695727078635743,1.5246843287013672,2016.9838519496707,2018.4287403288329,3.848714780005603,10.760559987159645,0.2768680568889973,0.26094872180642537,0.2511299464217192,0.21105327488285847,0.10036738107094281,7.978491630884512E-4,8.708035433753727E-4,6.646308114005992E-4,1.0798523318793476,0.15579482449662507,-24538.76875747559,-2720.7422526009486,-526.7790078864238
6780000,-27802.95073741854,-3247.5740885770238,-24555.376648841517,16.8678879105023,2003.085536747032,136.1596462101273,2.804400264680906,1.662317254839811,2017.1490243928533,2018.2911074026945,4.2590711837542985,10.798650981784313,0.2803932011935775,0.2593048989609342,0.24633011946520691,0.21397178038028167,0.03258255560121286,7.643578825783718E-4,7.906763709983029E-4,6.636099729429831E-4,1.0580639602719075,0.09182880052856086,-24555.376648841517,-2720.7422526009486,-530.1370780560877
